INFO 2022-09-05T12:38:49.546Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api.0jest\src\index.js | db connected
INFO 2022-09-05T12:39:58.322Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api.0jest\src\index.js | db connected
INFO 2022-09-05T12:39:58.473Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api.0jest\src\index.js | api started
ERROR 2022-09-05T13:16:18.986Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api.0jest\src\routes\users\authenticateUserHandler.js | user with email pepite@grillo.com not found
INFO 2022-09-05T13:16:52.559Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api.0jest\src\index.js | 
 api stopped
INFO 2022-09-05T13:16:52.563Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api.0jest\src\index.js | db disconnected
INFO 2022-09-05T13:16:57.245Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api.0jest\src\index.js | db connected
INFO 2022-09-05T13:16:57.596Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api.0jest\src\index.js | api started
ERROR 2022-09-05T13:28:34.541Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api.0jest\src\routes\users\authenticateUserHandler.js | email is not valid
INFO 2022-09-05T13:50:05.186Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api\src\index.js | db connected
INFO 2022-09-05T13:50:05.520Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api\src\index.js | api started
ERROR 2022-09-05T14:33:06.425Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api\src\routes\users\authenticateUserHandler.js | email is not a string
ERROR 2022-09-05T14:33:14.665Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api\src\routes\users\authenticateUserHandler.js | email is not a string
ERROR 2022-09-05T14:33:15.349Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api\src\routes\users\authenticateUserHandler.js | email is not a string
ERROR 2022-09-05T14:33:15.869Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api\src\routes\users\authenticateUserHandler.js | email is not a string
ERROR 2022-09-05T14:33:16.358Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api\src\routes\users\authenticateUserHandler.js | email is not a string
ERROR 2022-09-05T14:35:38.840Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api\src\routes\users\authenticateUserHandler.js | email is not a string
ERROR 2022-09-05T14:37:35.799Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api\src\routes\users\authenticateUserHandler.js | email is not a string
ERROR 2022-09-05T14:41:08.342Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api\src\routes\users\authenticateUserHandler.js | user with email pepito@grillo.com not found
ERROR 2022-09-05T14:57:10.845Z undefined/C:\Users\jose_\workspace\neoland-bootcamp-202207\staff\jose-fernandez\postits\api\src\routes\notes\createNoteHandler.js | text is not a string
